crystal_system,slices
3,Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu Ni Ni Ni Ni Ni Ni Ni Ni Ni Sn Sn Sn Sn Sn Sn Sn Sn Sn 0 10 - - o 0 10 - o o 0 8 o - o 0 8 o o o 0 7 - o o 0 7 o o o 0 6 o - o 0 6 o o o 0 5 o - o 0 5 o o o 1 15 - - o 1 15 - o o 1 15 o - o 1 15 o o o 1 12 - o o 1 12 o o o 1 11 - o o 1 11 o o o 1 9 o - o 1 9 o o o 1 5 o - o 1 5 o o o 2 16 - - o 2 16 - o o 2 16 o - o 2 16 o o o 2 12 - o o 2 12 o o o 2 8 - o o 2 8 o o o 2 10 o - o 2 10 o o o 2 6 o - o 2 6 o o o 3 17 - - o 3 17 - o o 3 17 o - o 3 17 o o o 3 11 - o o 3 11 o o o 3 14 - o o 3 14 o o o 3 9 o - o 3 9 o o o 3 13 o - o 3 13 o o o 4 18 - - o 4 18 - o o 4 18 o - o 4 18 o o o 4 14 - o o 4 14 o o o 4 19 - o o 4 19 o o o 4 8 o - o 4 8 o o o 4 12 o - o 4 12 o o o 5 7 - o o 5 7 - + o 5 19 o o o 5 19 o + o 5 15 - o o 5 15 o o o 5 18 o o o 5 18 o o o 6 18 - o o 6 18 o o o 6 19 o - o 6 19 o o o 6 14 - o o 6 14 o o o 6 18 o - o 6 18 o o o 7 19 o - o 7 19 o o o 7 19 o - o 7 19 o o o 7 15 o - o 7 15 o o o 7 13 o - + 7 13 o o + 8 10 - o + 8 10 - + + 8 10 o o + 8 10 o + o 8 14 - o o 8 14 o o o 8 16 - o o 8 16 o o o 9 11 - o o 9 11 - + o 9 11 o o o 9 11 o + o 9 11 o o o 9 11 o o o 9 15 - o o 9 15 o o o 9 17 - o o 9 17 o o o 10 12 - o o 10 12 o o o 10 12 o - o 10 12 o o o 10 12 - o o 10 12 o + o 10 18 - o o 10 18 o o o 10 16 o - o 10 16 o o o 11 15 - o o 11 15 o o o 11 15 - o o 11 15 o o o 11 15 o - o 11 15 o o o 11 17 o - o 11 17 o o o i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s
3,Li Li Li Ag Ag Ag P P Se Se Se Se Se Se Se Se 0 13 - o o 0 13 o o o 0 12 o o o 0 14 o o + 0 11 o o o 0 12 o o o 1 15 o o o 1 15 + o o 1 8 o o o 1 9 + o o 1 10 o o + 1 12 o o o 2 10 - o o 2 10 - o o 2 9 o o o 2 15 o o o 2 14 o o o 2 8 o o o 3 8 o o o 3 11 o o o 3 11 o + o 3 14 o + o 3 15 o o o 3 12 o o o 4 11 - o o 4 11 o + o 4 12 o o o 4 14 o o o 4 13 o - o 4 9 o o o 5 8 o o o 5 13 o o o 5 12 o o o 5 10 o - o 5 10 o o o 5 15 o o o 6 14 o o o 6 10 o o - 6 10 + o - 6 15 + o - 6 13 o - - 6 12 + - - 7 9 o - o 7 15 o o o 7 11 o o o 7 14 o o o 7 14 o o o 7 8 o o o i u y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s x i z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s
3,Sr Mn Mn Mn O O O O O O 0 6 - - - 0 6 - - o 0 9 - o - 0 8 o - o 0 8 o o o 0 3 - o o 0 3 - o o 0 3 o o o 0 2 o - - 0 2 o o - 0 8 o o o 0 7 o o o 0 7 o - o 1 7 o o o 1 4 o o o 1 4 + o o 1 5 o o o 1 5 o - o 1 6 o - o 1 8 o o o 1 8 o o o 1 9 o o o 1 2 o o o 1 2 o - o 2 8 - o - 2 7 - o - 2 7 o o o 2 6 o o - 2 6 o o o 2 9 o o - 3 9 - - o 3 7 - o o 3 7 o - o 3 8 o o o 3 8 o - o 3 6 o o o i u y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s x i z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s
3,Ti Ti Pd Pd Pd Pd Pd Pd 0 7 - - o 0 7 - o o 0 7 o - o 0 7 o o o 0 5 - o - 0 5 o o - 0 4 - o o 0 4 o o o 0 3 o - - 0 3 o o - 0 2 o - o 0 2 o o o 1 6 o o o 1 6 o + o 1 6 + o o 1 6 + + o 1 2 o o o 1 2 + o o 1 3 o o o 1 3 + o o 1 4 o o o 1 4 o + o 1 5 o o o 1 5 o + o 2 4 - o o 2 4 - + o 2 4 o o o 2 4 o + o 2 7 - o o 2 7 o o o 2 6 o o o 2 6 o + o 3 5 - o o 3 5 - + o 3 5 o o o 3 5 o + o 3 7 - o + 3 7 o o + 3 6 o o o 3 6 o + o 4 6 o o o 4 6 + o o 4 7 o - o 4 7 o o o 5 6 o o o 5 6 + o o 5 7 o - + 5 7 o o + i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,Ca Hf Mg Mg Mg Mg Mg Mg 0 7 - - o 0 7 - o o 0 7 o - o 0 7 o o o 0 5 - o - 0 5 o o - 0 4 - o o 0 4 o o o 0 3 o - - 0 3 o o - 0 2 o - o 0 2 o o o 1 6 o o o 1 6 o + o 1 6 + o o 1 6 + + o 1 2 o o o 1 2 + o o 1 3 o o o 1 3 + o o 1 4 o o o 1 4 o + o 1 5 o o o 1 5 o + o 2 4 - o o 2 4 - + o 2 4 o o o 2 4 o + o 2 7 - o o 2 7 o o o 2 6 o o o 2 6 o + o 3 5 - o o 3 5 - + o 3 5 o o o 3 5 o + o 3 7 - o + 3 7 o o + 3 6 o o o 3 6 o + o 4 6 o o o 4 6 + o o 4 7 o - o 4 7 o o o 5 6 o o o 5 6 + o o 5 7 o - + 5 7 o o + i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s
3,In In In In Ag Ag Ag Ag Te Te Te Te Te Te Te Te 0 13 - - o 0 13 o o o 0 14 o o o 0 12 o o o 1 12 - o o 1 13 o + o 1 15 o o o 1 9 o o + 2 10 - o o 2 14 - o + 2 15 o o o 2 11 o o o 3 8 o o o 3 9 o + o 3 11 o o + 3 13 o o + 4 15 - - o 4 12 o o o 4 14 o - o 4 14 o o o 5 8 o o o 5 9 o o o 5 11 o o o 5 10 o o o 6 10 - o o 6 11 - o o 6 9 o o o 6 8 o o o 7 14 o o o 7 15 o o o 7 13 o o o 7 12 o + o i u y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s x i z 1s 1s 1s i u y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s x i z 2s 2s 2s
3,Fe Co Ni Ni Ni Ni Ni Ni 0 5 - - o 0 5 - o o 0 5 o - o 0 5 o o o 0 6 - o - 0 6 o o - 0 4 - o o 0 4 o o o 0 3 o - - 0 3 o o - 0 2 o - o 0 2 o o o 1 3 o o o 1 3 o + o 1 3 + o o 1 3 + + o 1 7 o o o 1 7 + o o 1 5 o o o 1 5 + o o 1 4 o o o 1 4 o + o 1 6 o o o 1 6 o + o 2 6 - o o 2 6 - + o 2 6 o o o 2 6 o + o 2 5 - o o 2 5 o o o 2 7 o o o 2 7 o + o 3 4 - o o 3 4 - + o 3 4 o o o 3 4 o + o 3 7 - o o 3 7 o o o 3 5 o o o 3 5 o + o 4 7 o o o 4 7 + o o 4 6 o - o 4 6 o o o 5 6 o o o 5 6 + o o 6 7 o - + 6 7 o o + i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s
3,Li Li Mo Mo Mo Mo Pd Pd 0 5 - - - 0 5 - o - 0 7 - o o 0 7 - o o 0 4 - o o 0 4 o o - 0 3 - o o 0 3 o o o 0 6 o - - 0 6 o o - 0 2 o - o 0 2 o o o 1 8 o o - 1 4 o o o 1 4 o o o 1 4 + o o 1 6 o o - 1 6 + o o 1 3 o o - 1 3 + o o 1 7 o o - 1 7 o + - 1 5 o + o 1 5 o + o 2 6 o o o 2 6 + o o 2 5 o - o 2 5 o o o 2 7 o o o 2 7 o o + 2 4 o - o 2 4 o o + 3 7 o o o 3 7 + o o 3 4 o o o 3 4 o + o 3 6 o o - 3 6 o o o 3 5 o + - 3 5 o + o 4 7 - o o 4 7 - + o 4 7 o o o 4 7 o + o 5 6 o - o 5 6 o o o 5 6 + o o 5 6 + o o i u y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s x i z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s
3,K K Ag Ag S S 0 2 - o o 0 2 - + o 0 2 o o o 0 2 o + o 0 4 - o o 0 4 o o o 0 5 o o o 0 5 o + o 0 1 o o - 0 1 o o o 1 3 - o o 1 3 - + o 1 3 o o o 1 3 o + o 1 5 - o o 1 5 o o o 1 4 o o o 1 4 o + o 2 4 o o o 2 4 + o o 2 5 o - o 2 5 o o o 2 3 o o - 2 3 o o o 3 4 o o + 3 4 + o + 3 5 o - o 3 5 o o o i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s
3,Ba Ba Fe Fe Fe Fe Fe Fe Fe Fe O O O O O O O O O O 0 14 - - o 0 10 - - o 0 13 - - o 0 18 - o o 0 18 o - o 0 5 - - o 0 12 - o o 0 7 - o o 0 16 o - o 0 16 o - o 0 15 o - o 0 8 o - o 0 19 o o o 0 11 o o o 0 6 o o o 0 17 o o o 1 17 - - o 1 7 - - o 1 9 - - o 1 9 - o o 1 13 - o o 1 10 - o o 1 14 - o o 1 5 o o o 1 11 o - o 1 15 o o o 1 12 o - o 1 8 o o o 1 19 o o o 1 18 o o o 2 10 - o o 2 12 o o o 2 6 - o o 2 6 o o o 2 19 - o o 2 19 o o o 2 8 o - o 2 15 o o o 2 18 o - o 2 18 o o o 2 14 o o o 2 12 o o o 3 11 o - - 3 11 o o - 3 16 o - o 3 16 o o o 3 9 o - - 3 9 o o - 3 17 o o o 3 17 o o o 3 15 o o - 3 13 o o - 4 15 - - o 4 15 - o o 4 14 o - o 4 14 o o o 4 11 o o o 4 11 o o o 4 16 o - o 4 8 o o o 5 12 o o o 5 10 - o o 5 10 - o o 5 10 o o o 5 19 o - o 5 19 o o o 6 18 o o o 6 18 o o o 6 13 o - o 6 14 o o o 7 19 o o o 7 18 o o o 7 17 o o o 7 17 o o o 7 19 o + o 7 19 o o o i u y 1s 1s 1s x i y 2s 2s 1s r x y 1s 1s 1s u r y 2s 2s 1s i x z 2s 2s 1s x r z 1s 1s 1s r u z 2s 2s 1s u i z 1s 1s 1s r x z 2s 2s 1s u r z 1s 1s 1s i u z 2s 2s 1s x i z 1s 1s 1s r u y 1s 1s 1s u i y 2s 2s 1s i x y 1s 1s 1s x r y 2s 2s 1s
