crystal_system,slices
3,La La La La Ti Ti Ti Ti Al Al Al Al Al Al Al Al Al Al Al Al Al Al Al Al Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu Cu 0 18 - - o 0 10 - o o 0 10 o o o 0 38 o o o 0 16 - o o 0 15 - o o 0 14 o o o 0 19 - o o 0 19 o - o 0 19 o o o 0 37 o - o 0 37 o o o 0 39 o o o 0 12 o - o 0 12 o o o 0 11 o o o 1 13 o - o 1 13 o o o 1 36 o - o 1 39 o - o 1 10 o o o 1 18 o o o 1 18 + o o 1 11 o - o 1 11 o o o 1 30 o o o 1 14 o o o 1 17 o - o 1 17 o o o 1 32 o o o 1 28 o o o 1 22 o o o 2 33 o o o 2 33 o + o 2 20 o o o 2 9 o o o 2 9 + o o 2 15 o o o 2 15 o + o 2 28 o o o 2 16 o o o 2 16 + o o 2 25 o o o 2 25 o + o 2 14 o o o 2 27 o o + 2 8 o o o 2 8 o o o 3 8 o o o 3 8 o o o 3 8 + o o 3 39 o o o 3 9 o o o 3 24 o o o 3 17 o o o 3 17 + o o 3 29 o o o 3 29 o o o 3 14 o o o 3 21 o o o 3 20 o o o 3 20 o o o 4 22 - o - 4 38 - o o 4 27 - o o 4 30 o o - 4 9 - o - 4 19 - o - 4 34 o o o 4 20 - o o 4 32 o o o 4 29 o o - 4 12 - o o 4 12 o o o 4 21 o o - 4 8 o o o 5 13 - o - 5 11 - o - 5 18 o o o 5 18 o o o 5 31 - o o 5 15 - + - 5 22 o o - 5 19 o o - 5 30 o o - 5 21 o o - 5 24 o o o 5 38 o o o 5 25 o + - 5 16 o o - 6 37 o - - 6 36 o o o 6 31 o - o 6 22 o - - 6 31 o - o 6 20 o - o 6 17 o o - 6 24 o - o 6 39 o - - 6 28 o - o 6 13 o o - 6 37 o o - 6 14 o o o 7 16 o - o 7 36 o - o 7 31 o o o 7 15 o o o 7 30 o o o 7 17 o o o 7 24 o - o 7 39 o - o 7 26 o - o 7 38 o o o 7 38 o o o 7 29 o o o 7 38 o o o 8 38 - o o 8 30 - o o 8 39 - o o 8 37 - o o 8 37 o o o 8 25 o o o 8 31 o o o 8 22 o o o 8 20 o o o 9 23 o o o 9 31 o o o 9 24 o o o 9 26 o o o 9 36 o o o 9 38 + o o 9 21 o o o 10 19 - - - 10 22 - o o 10 21 - o - 10 24 - o o 10 23 o - - 10 20 o - o 10 37 o o - 10 18 o o o 11 15 o o o 11 38 o o o 11 17 o o o 11 16 o o o 11 19 o o o 11 29 o o o 11 25 o o o 11 20 o o o 12 29 o o - 12 26 o o o 12 27 o o o 12 22 o o o 12 19 o o - 12 39 o o o 13 38 o o o 13 28 o o + 13 26 o o o 13 18 o o + 13 23 o o o 13 27 o o o 14 21 o o o 14 31 o o o 14 33 o o o 14 37 o - - 14 24 o o o 15 25 o o o 15 32 o o o 15 32 o + + 15 30 o o o 15 20 o o o 16 38 o o o 16 23 o - o 16 25 o o - 16 34 o o o 17 36 o o o 17 24 o o + 17 35 o o o 17 22 o + + 18 27 - o o 18 20 - o o 18 24 o o o 18 35 - o o 18 22 o o o 18 21 o o o 19 20 o o o 19 25 o o o 19 23 + o o 19 22 o o o 19 21 + o o 19 26 + o o 20 21 o o - 20 22 o o o 20 25 o o - 20 34 o o o 21 35 o o o 21 24 o o + 21 23 o o o 21 24 o o + 22 31 o o o 22 23 + o o 24 34 o o o 24 26 + o o 25 27 - o o 25 35 o o o 26 32 o o o 26 36 + o o 27 38 o o o 27 33 o o o 28 38 o o o 28 39 o o - 28 36 o o o 28 39 o o o 29 38 o o o 29 38 o o o 29 37 o o o 29 39 o o o 30 36 o o o 30 39 o o o 30 32 o o o 30 37 o o o 31 38 o o o 31 38 o o o 32 37 o o - 32 37 o o o i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,Fe Fe Ni Ni Ni Ni Ni Ni 0 7 - - o 0 7 - o o 0 7 o - o 0 7 o o o 0 5 - o - 0 5 o o - 0 4 - o o 0 4 o o o 0 3 o - - 0 3 o o - 0 2 o - o 0 2 o o o 1 6 o o o 1 6 o + o 1 6 + o o 1 6 + + o 1 2 o o o 1 2 + o o 1 3 o o o 1 3 + o o 1 4 o o o 1 4 o + o 1 5 o o o 1 5 o + o 2 4 - o o 2 4 - + o 2 4 o o o 2 4 o + o 2 7 - o o 2 7 o o o 2 6 o o o 2 6 o + o 3 5 - o o 3 5 - + o 3 5 o o o 3 5 o + o 3 7 - o + 3 7 o o + 3 6 o o o 3 6 o + o 4 6 o o o 4 6 + o o 4 7 o - o 4 7 o o o 5 6 o o o 5 6 + o o 5 7 o - + 5 7 o o + i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,La La La La Mg Mg Mg Mg Mg Mg 0 7 - - o 0 7 - o o 0 7 o - o 0 7 o o o 0 3 - - o 0 3 - o o 0 3 o - o 0 3 o o o 0 0 + o o 0 0 o + o 1 2 - - o 1 2 - o o 1 2 o - o 1 2 o o o 1 6 - - o 1 6 - o o 1 6 o - o 1 6 o o o 1 1 + + o 1 1 o + o 2 5 o o o 2 5 o + o 2 5 + o o 2 5 + + o 2 2 + o o 2 2 o + o 3 4 o o o 3 4 o + o 3 4 + o o 3 4 + + o 3 3 + o o 3 3 o + o 4 9 - - o 4 9 - o o 4 9 o - o 4 9 o o o 4 4 + o o 4 4 o + o 4 5 o o + 5 9 - - o 5 9 - o o 5 9 o - o 5 9 o o o 5 5 + o o 5 5 o + o 6 8 o o + 6 8 o + + 6 8 + o + 6 8 + + + 6 6 + o o 6 6 o + o 6 7 o o + 7 8 o o o 7 8 o + o 7 8 + o o 7 8 + + o 7 7 + o o 7 7 o + o 8 8 + o o 8 8 o + o 9 9 + o o 9 9 o + o i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,Zn Zn Hg Hg Hg Hg Hg Hg 0 7 - - o 0 7 - o o 0 7 o - o 0 7 o o o 0 5 - o - 0 5 o o - 0 4 - o o 0 4 o o o 0 3 o - - 0 3 o o - 0 2 o - o 0 2 o o o 1 6 o o o 1 6 o + o 1 6 + o o 1 6 + + o 1 2 o o o 1 2 + o o 1 3 o o o 1 3 + o o 1 4 o o o 1 4 o + o 1 5 o o o 1 5 o + o 2 4 - o o 2 4 - + o 2 4 o o o 2 4 o + o 2 7 - o o 2 7 o o o 2 6 o o o 2 6 o + o 3 5 - o o 3 5 - + o 3 5 o o o 3 5 o + o 3 7 - o + 3 7 o o + 3 6 o o o 3 6 o + o 4 6 o o o 4 6 + o o 4 7 o - o 4 7 o o o 5 6 o o o 5 6 + o o 5 7 o - + 5 7 o o + i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,K K K K K K Ag Ag 0 2 - o o 0 2 - + o 0 2 o o o 0 2 o + o 0 5 - o o 0 5 o o o 0 7 - o o 0 7 o o o 0 6 o o o 0 6 o + o 0 4 o o o 0 4 o + o 1 3 - o o 1 3 - + o 1 3 o o o 1 3 o + o 1 7 - o o 1 7 o o o 1 5 - o + 1 5 o o + 1 4 o o o 1 4 o + o 1 6 o o + 1 6 o + + 2 6 o o o 2 6 + o o 2 4 o o o 2 4 + o o 2 5 o - o 2 5 o o o 2 7 o - o 2 7 o o o 3 4 o o o 3 4 + o o 3 6 o o + 3 6 + o + 3 7 o - o 3 7 o o o 3 5 o - + 3 5 o o + 4 7 - - o 4 7 - o o 4 7 o - o 4 7 o o o 5 6 o o o 5 6 o + o 5 6 + o o 5 6 + + o i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,Rb Rb Rb Rb Rb Rb Pd Pd F F F F F F F F F F F F 0 12 - - o 0 15 - o o 0 14 o - o 0 16 o o o 0 17 o o o 0 13 o o o 1 8 o o o 1 11 o o o 1 10 o o o 1 18 o o - 1 19 o o o 1 9 o o o 2 10 - o o 2 15 - o o 2 9 - o o 2 19 - o o 2 19 o o o 2 12 - o o 2 16 o o o 2 16 o + o 2 8 o o o 2 13 o o o 2 11 o o o 2 14 o o o 3 15 - o o 3 10 - o + 3 18 - o o 3 18 o o o 3 12 - o o 3 9 - o + 3 13 o o o 3 8 o o + 3 17 o o o 3 17 o + o 3 14 o o o 3 11 o o + 4 11 o - o 4 14 o - o 4 16 o o o 4 16 + o o 4 8 o o o 4 13 o o o 4 9 o - o 4 19 o - o 4 19 o o o 4 12 o - o 4 10 o o o 4 15 o o o 5 14 o - o 5 11 o - + 5 13 o o o 5 8 o o + 5 17 o o o 5 17 + o o 5 18 o - o 5 18 o o o 5 12 o - o 5 9 o - + 5 15 o o o 5 10 o o + 6 9 - - o 6 10 - o o 6 11 o - o 6 17 o o - 6 16 o o o 6 8 o o o 7 13 o o o 7 14 o o o 7 15 o o o 7 19 o o o 7 18 o o o 7 12 o o o i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,Mg Mg Mg Mg Mg Mg Mg Mg Mg Mg Mg Mg Ni Ni Ni Ni Ni Ni Ni Ni Ni Ni Ni Ni Ni Ni 0 19 - - o 0 19 - o o 0 19 o - o 0 19 o o o 0 13 - o - 0 13 o o - 0 13 o - o 0 13 o o - 0 24 o o o 0 Cu o o - 0 10 o o - 0 10 o - o 0 18 o - o 0 18 o o - 0 5 o o - 0 2 o o o 1 18 o o o 1 23 o o o 1 16 o o o 1 16 o o o 1 15 o o o 1 15 o o + 1 25 o o o 1 25 o o o 1 8 o o + 1 9 o o o 1 9 o o + 1 12 o o o 1 17 o o o 1 14 o o o 1 14 o o + 1 10 o o o 2 20 - o o 2 17 - o o 2 12 - o - 2 9 - o o 2 23 o o - 2 10 o o o 2 10 o o - 2 18 o o o 2 8 o o - 2 8 o o o 3 9 - o - 3 9 - o o 3 9 - o o 3 19 - o o 3 22 - o o 3 11 o o - 3 8 o o o 3 8 o o o 3 16 o o - 3 21 o o o 4 10 o - o 4 20 o - o 4 25 o o o 4 12 o o o 4 11 o o - 4 22 o - o 4 19 o - o 4 14 o o o 4 15 o o - 4 10 o - o 4 13 o o o 4 35 o o o 4 16 o o - 4 12 o o o 5 17 o - - 5 18 o - o 5 11 o o - 5 14 o - o 5 13 o o - 5 10 o - o 5 14 o - o 5 13 o o o 5 23 o o - 5 34 o o o 5 15 o o o 5 15 o o - 5 7 o o o 5 21 o o o 6 9 - o o 6 20 - o o 6 14 - o o 6 14 o o o 6 19 o o o 6 24 o + o 6 12 o o o 6 22 o o o 7 13 o o o 7 18 o o o 7 25 o - o 7 15 o o o 7 15 + o o 7 21 o o o 7 16 + o o 7 8 + o o 8 10 o o o 8 18 o o o 8 21 o o o 8 24 o o o 8 16 o o o 8 16 + o o 8 14 o o o 8 14 o o o 9 17 - o o 9 17 o o o 9 15 o o o 9 20 o o + 9 25 o o o 9 19 o o o 9 11 o o o 9 11 o o o 10 12 - o o 10 20 - o o 10 25 - o o 10 13 o o o 10 18 o o o 10 23 o o o 11 22 - o o 11 21 - o o 11 12 - o o 11 12 o o o 11 24 o o o 11 19 o o o 12 22 o - o 12 20 o - o 12 17 o - o 12 13 o o o 13 16 o o o 13 21 o o o 13 23 o + o 13 18 o o o 14 22 o o o 14 19 o o o 14 15 o o o 15 18 o o o 15 23 o o o 15 22 o o o 16 24 o o o 16 21 o o o 17 20 o o o 17 25 o o o 18 23 o o o 18 23 o o o 19 22 o o o 19 22 o o o 20 25 o o o 20 25 o o o 21 24 o o o 21 24 o o o 22 24 o o o 22 27 o o o 23 26 o o o 23 25 o o o i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,Li Li Li Li V V F F F F F F F F 0 9 - - o 0 9 - o o 0 9 o - o 0 9 o o o 0 11 - o o 0 11 o o o 0 10 o - o 0 10 o o o 0 6 o o o 1 8 - - o 1 8 - o o 1 8 o - o 1 8 o o o 1 11 - o + 1 11 o o + 1 10 o - + 1 10 o o + 1 7 o o o 2 7 o o o 2 7 o + o 2 7 + o o 2 7 + + o 2 13 o o o 2 13 + o o 2 12 o o o 2 12 o + o 2 8 o o o 3 6 o o o 3 6 o + o 3 6 + o o 3 6 + + o 3 13 o o o 3 13 + o o 3 12 o o o 3 12 o + o 3 9 o o o 4 12 - o o 4 12 o o o 4 13 o - o 4 13 o o o 4 6 o o o 4 7 o o o 5 10 o o o 5 10 + o o 5 11 o o o 5 11 o + o 5 8 o o - 5 9 o o o i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,Li Li Li Li Ni Ni O O O O 0 9 - - o 0 9 - o o 0 9 o - o 0 9 o o o 0 6 o o o 1 8 - - o 1 8 - o o 1 8 o - o 1 8 o o o 1 7 o o o 2 7 o o o 2 7 o + o 2 7 + o o 2 7 + + o 2 8 o o o 3 6 o o o 3 6 o + o 3 6 + o o 3 6 + + o 3 9 o o o 4 7 o o - 4 6 o o o 5 9 o o o 5 8 o o o i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
3,Mg Mg In In In In In In 0 7 - - o 0 7 - o o 0 7 o - o 0 7 o o o 0 5 - o - 0 5 o o - 0 4 - o o 0 4 o o o 0 3 o - - 0 3 o o - 0 2 o - o 0 2 o o o 1 6 o o o 1 6 o + o 1 6 + o o 1 6 + + o 1 2 o o o 1 2 + o o 1 3 o o o 1 3 + o o 1 4 o o o 1 4 o + o 1 5 o o o 1 5 o + o 2 4 - o o 2 4 - + o 2 4 o o o 2 4 o + o 2 7 - o o 2 7 o o o 2 6 o o o 2 6 o + o 3 5 - o o 3 5 - + o 3 5 o o o 3 5 o + o 3 7 - o + 3 7 o o + 3 6 o o o 3 6 o + o 4 6 o o o 4 6 + o o 4 7 o - o 4 7 o o o 5 6 o o o 5 6 + o o 5 7 o - + 5 7 o o + i u y 1s 1s 1s r x z 1s 1s 1s x i y 1s 1s 1s u r z 1s 1s 1s r x y 1s 1s 1s i u z 1s 1s 1s u r y 1s 1s 1s x i z 1s 1s 1s i x z 1s 1s 1s r u y 1s 1s 1s x r z 1s 1s 1s u i y 1s 1s 1s r u z 1s 1s 1s i x y 1s 1s 1s u i z 1s 1s 1s x r y 1s 1s 1s i u y 2s 2s 2s r x z 2s 2s 2s x i y 2s 2s 2s u r z 2s 2s 2s r x y 2s 2s 2s i u z 2s 2s 2s u r y 2s 2s 2s x i z 2s 2s 2s i x z 2s 2s 2s r u y 2s 2s 2s x r z 2s 2s 2s u i y 2s 2s 2s r u z 2s 2s 2s i x y 2s 2s 2s u i z 2s 2s 2s x r y 2s 2s 2s
